timeStamp,peerId,rssi,deviceId,uploadDuration,contactDuration,closeContactDuration,exposureStatus
1753827084,cc:ba:97:e1:36:0e,-45,ESP32_94346372,0,0,0,NORMAL
1753827086,cc:ba:97:e1:36:0e,-46,ESP32_18315612,0,2,2,NORMAL
1753827103,cc:ba:97:e1:36:0e,-63,ESP32_40932421,0,12,2,NORMAL
1753827104,cc:ba:97:e1:36:0e,-62,ESP32_30912426,0,20,2,NORMAL
1753827122,cc:ba:97:e1:36:0e,-46,ESP32_98913776,0,38,20,NORMAL
1753827141,cc:ba:97:e1:36:0e,-62,ESP32_92052672,0,57,20,NORMAL
1753827159,cc:ba:97:e1:36:0e,-62,ESP32_38233697,0,75,20,NORMAL
1753827184,cc:ba:97:e1:36:0e,-55,ESP32_50457441,212,100,39,NORMAL
1753827202,cc:ba:97:e1:36:0e,-54,ESP32_78784278,212,118,57,NORMAL
1753827220,cc:ba:97:e1:36:0e,-67,ESP32_46842862,212,117,57,NORMAL
1753827221,cc:ba:97:e1:36:0e,-59,ESP32_06812164,212,137,76,NORMAL
1753827239,cc:ba:97:e1:36:0e,-46,ESP32_82052172,212,155,94,NORMAL
1753827243,cc:ba:97:e1:36:0e,-75,ESP32_42052571,212,161,94,NORMAL
1753827249,cc:ba:97:e1:36:0e,-78,ESP32_22052672,212,173,94,NORMAL
1753827257,cc:ba:97:e1:36:0e,-71,ESP32_30883014,212,187,94,NORMAL
1753827283,cc:ba:97:e1:36:0e,-46,ESP32_02378667,532,199,138,NORMAL
1753827303,cc:ba:97:e1:36:0e,-53,ESP32_97799376,532,219,158,NORMAL
1753827320,cc:ba:97:e1:36:0e,-51,ESP32_54173841,532,236,175,NORMAL
1753827338,cc:ba:97:e1:36:0e,-62,ESP32_54012233,532,242,175,NORMAL
1753827348,cc:ba:97:e1:36:0e,-52,ESP32_14012233,532,255,193,NORMAL
1753827357,cc:ba:97:e1:36:0e,-63,ESP32_16473854,532,263,193,NORMAL
1753827367,cc:ba:97:e1:36:0e,-47,ESP32_66413854,532,273,212,NORMAL
1753827382,cc:ba:97:e1:36:0e,-52,ESP32_72097788,434,298,237,NORMAL
1753827401,cc:ba:97:e1:36:0e,-62,ESP32_39402932,434,317,237,NORMAL
1753827420,cc:ba:97:e1:36:0e,-51,ESP32_66473154,434,336,256,EXPOSURE
1753827439,cc:ba:97:e1:36:0e,-60,ESP32_16080572,434,355,275,EXPOSURE
1753827449,cc:ba:97:e1:36:0e,-73,ESP32_96280372,434,364,275,NORMAL
1753827457,cc:ba:97:e1:36:0e,-60,ESP32_92078844,434,373,293,EXPOSURE
1753827482,cc:ba:97:e1:36:0e,-45,ESP32_16593019,522,398,318,EXPOSURE
1753827503,cc:ba:97:e1:36:0e,-62,ESP32_13114532,522,404,318,NORMAL
1753827523,cc:ba:97:e1:36:0e,-58,ESP32_13312532,522,419,339,EXPOSURE
1753827539,cc:ba:97:e1:36:0e,-50,ESP32_92209078,522,455,375,EXPOSURE
1753827567,cc:ba:97:e1:36:0e,-66,ESP32_12774026,522,467,375,NORMAL
1753827557,cc:ba:97:e1:36:0e,-51,ESP32_42174026,522,479,393,EXPOSURE
